state,x,y
Andhra Pradesh,-53,-148
Arunachal Pradesh,205,94
Assam,170,47
Bihar,54,44
Chhattisgarh,-13,-40
Goa,-135,-135
Gujarat,-179,2
Haryana,-96,107
Himachal Pradesh,-88,153
Jammu and Kashmir,-103,208
Jharkhand,44,4
Karnataka,-111,-149
Kerala,-91,-231
Madhya Pradesh,-72,-1
Maharashtra,-120,-79
Manipur,195,43
Meghalaya,137,38
Mizoram,168,-4
Nagaland,201,48
Odisha,44,-40
Punjab,-110,127
Rajasthan,-154,52
Sikkim,96,75
Tamil Nadu,-68,-202
Telangana,-57,-96
Tripura,144,9
Uttar Pradesh,-29,65
Uttarakhand,-54,120
West Bengal,90,-7
